AAAS,397,10,16269,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Ji-Song Ku (P)
AAAS,397,12,16262,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,TBA
AAAS,397,13,24071,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Michael J Pettid (P)
AAAS,397,15,16270,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Rumiko Sode (P)
AAAS,397,16,22045,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Chenqing Song (P)
AAAS,397,17,22998,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,David C Stahl (P)
AAAS,397,18,23164,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Roberta Strippoli (P)
AAAS,397,19,22056,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Lisa T Yun (P)
AAAS,397,20,22114,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Hong Zhang (P)
AAAS,397,21,22951,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Nicholas A Kaldis (P)
AAAS,397,32,16271,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,TBA
AAAS,451,01,22235,Fictions of the Samurai,Class,4:40 pm - 7:40 pm,W,Fine Arts 225,Aug 31, 2015 - Dec 15, 2015,Discussion,Roberta Strippoli (P)
AAAS,461,01,18856,Li Bai and Du Fu,Class,2:20 pm - 3:45 pm,MW,Fine Arts 244,Aug 31, 2015 - Dec 15, 2015,Discussion,Weizhong Lei (P)
AAAS,473,01,18172,Imperialism In East Asia,Class,2:50 pm - 5:50 pm,R,Nelson A Rockefeller Center 161,Aug 31, 2015 - Dec 15, 2015,Seminar,Yi Wang (P)
AAAS,480B,01,19686,Asian Migration,Class,2:50 pm - 4:15 pm,TR,Engineering Building R15,Aug 31, 2015 - Dec 15, 2015,Seminar,TBA
AAAS,480G,01,24294,Afro-Asian Histories,Class,4:40 pm - 7:40 pm,W,Nelson A Rockefeller Center 161,Aug 31, 2015 - Dec 15, 2015,Seminar,Cynthia L Marasigan (P)
AAAS,480I,01,24312,Contemporary Ecologies,Class,4:40 pm - 7:40 pm,M,Science 2 G42,Aug 31, 2015 - Dec 15, 2015,Seminar,Jeffner Marie Allen (P)
AAAS,480I,02,18179,Social Justice,Class,1:40 pm - 4:40 pm,T,Downtown Center 120B,Aug 31, 2015 - Dec 15, 2015,Seminar,Myra G Sabir (P)
AAAS,480N,01,27563,21st Century Longings: In Tran,Class,8:30 am - 11:30 am,M,Library Tower 1506,Aug 31, 2015 - Dec 15, 2015,Discussion,Jeffner Marie Allen (P)
AAAS,480O,01,27494,Korea: the Other Within,Class,11:40 am - 1:05 pm,TR,Tuscarora Office Building 219,Aug 31, 2015 - Dec 15, 2015,Discussion,Sonja M Kim (P)
AAAS,480U,02,25253,Teach. Chinese as Foreign Lang,Class,4:25 pm - 5:50 pm,TR,Science 2 145,Aug 31, 2015 - Dec 15, 2015,Discussion,Chenqing Song (P)
AAAS,480W,01,27647,Social Justice,Class,5:50 pm - 8:50 pm,W,Downtown Center 220A,Aug 31, 2015 - Dec 15, 2015,Seminar,Denise G Yull (P)
AAAS,483A,90,27649,Gandhi & India,Class,2:50 pm - 5:50 pm,T,Old O'Connor Hall G062,Aug 31, 2015 - Dec 15, 2015,Seminar,Arnab Dey (P)
AAAS,483C,01,26204,History of Chinese Literature,Class,4:40 pm - 6:05 pm,MW,Admissions Center 177,Aug 31, 2015 - Dec 15, 2015,Discussion,Zu Yan Chen (P)
AAAS,491,02,26919,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Kayo Yoshida (P)
AAAS,491,03,21668,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Kil Cha (P)
AAAS,491,05,21669,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Zu Yan Chen (P)
AAAS,491,06,21670,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Sungdai Cho (P)
AAAS,491,08,21671,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Mariko Hashimoto (P)
AAAS,491,09,21672,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Shu-Min Tung Kaldis (P)
AAAS,491,12,21673,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,TBA
AAAS,491,13,21674,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Michael J Pettid (P)
AAAS,491,15,21675,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Rumiko Sode (P)
AAAS,491,16,21676,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Chenqing Song (P)
AAAS,491,18,21677,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,TBA
AAAS,491,20,21667,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Hong Zhang (P)
AAAS,491,21,22092,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Nicholas A Kaldis (P)
AAAS,491,22,23165,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,TBA
AAAS,491,23,22937,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Sonja M Kim (P)
AAAS,491,24,25031,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,So-Jin Moon (P)
AAAS,491,25,25032,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Noriko M Mori-Kolbe (P)
AAAS,491,26,26008,Practicum in Teaching,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Immanuel J Kim (P)
AAAS,497,23,26088,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Sonja M Kim (P)
AAAS,498,19,23941,Honors Thesis I,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Lisa T Yun (P)
AAAS,498,23,26038,Honors Thesis I,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Sonja M Kim (P)
AAAS,500,01,24287,Proseminar,Class,4:25 pm - 7:25 pm,T,Nelson A Rockefeller Center 161,Aug 31, 2015 - Dec 15, 2015,Seminar,Nicholas A Kaldis (P)
AAAS,534,01,25329,Fictions of the Samurai,Class,4:40 pm - 7:40 pm,W,Science Library 311,Aug 31, 2015 - Dec 15, 2015,Discussion,Roberta Strippoli (P)
AAAS,580D,01,24295,Afro-Asian Histories,Class,4:40 pm - 7:40 pm,W,Nelson A Rockefeller Center 161,Aug 31, 2015 - Dec 15, 2015,Seminar,Cynthia L Marasigan (P)
AAAS,580L,01,27339,Korea: the Other Within,Class,11:40 am - 1:05 pm,TR,Tuscarora Office Building 219,Aug 31, 2015 - Dec 15, 2015,Discussion,Sonja M Kim (P)
AAAS,580P,01,26202,History of Chinese Literature,Class,4:40 pm - 6:05 pm,MW,Admissions Center 177,Aug 31, 2015 - Dec 15, 2015,Discussion,Zu Yan Chen (P)
AAAS,583A,01,25526,Teach. Chinese as Foreign Lang,Class,4:25 pm - 5:50 pm,TR,Science 2 145,Aug 31, 2015 - Dec 15, 2015,Discussion,Chenqing Song (P)
AAAS,595,19,26352,Internship,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Internship,Lisa T Yun (P)
AAAS,597,07,24884,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Charles A Goodman (P)
AAAS,597,08,23137,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Mariko Hashimoto (P)
AAAS,597,09,23138,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Shu-Min Tung Kaldis (P)
AAAS,597,10,23139,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Ji-Song Ku (P)
AAAS,597,13,22077,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Michael J Pettid (P)
AAAS,597,16,22063,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Chenqing Song (P)
AAAS,597,17,22999,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,David C Stahl (P)
AAAS,597,18,22091,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,TBA
AAAS,597,20,26888,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Hong Zhang (P)
AAAS,597,21,24122,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Nicholas A Kaldis (P)
AAAS,597,23,26007,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,Sonja M Kim (P)
AAAS,597,24,26689,Independent Study,Class,TBA, ,TBA,Aug 31, 2015 - Dec 15, 2015,Independent Study,So-Jin Moon (P)
